title,price_gbp,price_inr,rating,in_stock,category_id
"1,000 Places to See Before You Die",26.08,2751.4399999999996,5,1,1
A Time of Torment (Charlie Parker #14),48.35,5100.925,5,1,2
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.5350000000003,5,1,2
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,2
The Silkworm (Cormoran Strike #2),23.05,2431.775,5,1,2
The Girl You Lost,12.29,1296.5949999999998,5,1,2
A Flight of Arrows (The Pathfinders #2),55.53,5858.415,5,1,3
Mrs. Houdini,30.25,3191.375,5,1,3
The Passion of Dolssa,28.32,2987.76,5,1,3
Voyager (Outlander #3),21.07,2222.885,5,1,3
