title,price_gbp,price_inr,rating,in_stock,category_id
It's Only the Himalayas,45.17,4765.435,2,1,1
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.865,4,1,1
See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.785,3,1,1
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.1699999999996,2,1,1
Under the Tuscan Sun,37.33,3938.3149999999996,3,1,1
A Summer In Europe,44.34,4677.870000000001,2,1,1
The Great Railway Bazaar,30.54,3221.97,1,1,1
A Year in Provence (Provence #1),56.88,6000.84,4,1,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.655,1,1,1
Neither Here nor There: Travels in Europe,38.95,4109.225,3,1,1
"1,000 Places to See Before You Die",26.08,2751.4399999999996,5,1,1
Sharp Objects,47.82,5045.01,4,1,2
"In a Dark, Dark Wood",19.63,2070.9649999999997,1,1,2
The Past Never Ends,56.5,5960.75,4,1,2
A Murder in Time,16.64,1755.52,1,1,2
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4652.55,4,1,2
The Last Mile (Amos Decker #2),54.21,5719.155,2,1,2
That Darkness (Gardiner and Renner #1),13.92,1468.56,1,1,2
Tastes Like Fear (DI Marnie Rome #3),10.69,1127.7949999999998,1,1,2
A Time of Torment (Charlie Parker #14),48.35,5100.925,5,1,2
A Study in Scarlet (Sherlock Holmes #1),16.73,1765.015,2,1,2
Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,2
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,5734.98,4,1,2
Most Wanted,35.28,3722.04,3,1,2
Hide Away (Eve Duncan #20),11.84,1249.12,1,1,2
Boar Island (Anna Pigeon #19),59.48,6275.139999999999,3,1,2
The Widow,27.26,2875.9300000000003,2,1,2
Playing with Fire,13.71,1446.4050000000002,3,1,2
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,2676.5350000000003,5,1,2
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5517.65,5,1,2
Delivering the Truth (Quaker Midwife Mystery #1),20.89,2203.895,4,1,2
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,2616.4,4,1,2
In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,1,2
The Silkworm (Cormoran Strike #2),23.05,2431.775,5,1,2
The Exiled,43.45,4583.975,3,1,2
The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.6550000000002,1,1,2
Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,1,2
Career of Evil (Cormoran Strike #3),24.72,2607.96,2,1,2
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1,2
The Girl You Lost,12.29,1296.5949999999998,5,1,2
The Girl In The Ice (DCI Erika Foster #1),15.85,1672.175,3,1,2
Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,1,2
1st to Die (Women's Murder Club #1),53.98,5694.889999999999,1,1,2
