category_name,title,rating,price_inr
travel,"1,000 Places to See Before You Die",5,2751.4399999999996
historical fiction,A Flight of Arrows (The Pathfinders #2),5,5858.415
historical fiction,A Spy's Devotion (The Regency Spies of London #1),5,1790.3349999999998
mystery,A Time of Torment (Charlie Parker #14),5,5100.925
historical fiction,Between Shades of Gray,5,2193.345
historical fiction,Mrs. Houdini,5,3191.375
mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,5517.65
mystery,The Girl You Lost,5,1296.5949999999998
historical fiction,The Passion of Dolssa,5,2987.76
historical fiction,The Red Tent,5,3762.1299999999997
